code_postal,commune,nom_commune,superficie,lati,longi
75005,PARIS 05,Panthéon,2539374.62284532,48.8444431505,2.35071460958
75013,PARIS 13,Gobelins,7149311.09107136,48.8283880317,2.36227244042
75017,PARIS 17,Batignolles-Monceau,5668834.50445393,48.887326522,2.30677699057
75014,PARIS 14,Observatoire,5614877.30907921,48.8292445005,2.3265420442
75018,PARIS 18,Buttes-Montmartre,5996051.30811905,48.892569268,2.34816051956
75002,PARIS 02,Bourse,991153.74474596,48.8682792225,2.34280254689
75010,PARIS 10,Entrepôt,2891739.44162064,48.8761300365,2.36072848785
75004,PARIS 04,Hôtel-de-Ville,1600585.63150251,48.8543414263,2.35762962032
75003,PARIS 03,Temple,1170882.82818778,48.86287238,2.3600009859
75011,PARIS 11,Popincourt,3665441.55248808,48.8590592213,2.3800583082
75012,PARIS 12,Reuilly,16314782.637267401,48.8349743815,2.42132490078
75001,PARIS 01,Louvre,1824612.86048666,48.8625627018,2.33644336205
75007,PARIS 07,Palais-Bourbon,4090057.18546976,48.8561744288,2.31218769148
75008,PARIS 08,Élysée,3880036.39704363,48.8727208374,2.3125540224
75020,PARIS 20,Ménilmontant,5983446.03718297,48.8634605789,2.40118812928
75015,PARIS 15,Vaugirard,8494994.08101075,48.8400853759,2.29282582242
75006,PARIS 06,Luxembourg,2153095.58639283,48.8491303586,2.33289799905
75009,PARIS 09,Opéra,2178303.27487137,48.8771635173,2.33745754348
75016,PARIS 16,Passy,16372542.128973901,48.8603921054,2.26197078836
75019,PARIS 19,Buttes-Chaumont,6792651.12902648,48.8870759966,2.38482096015
