code_population,age,hommes,femmes,ensemble,code_postal
124,18 à 24 ans,9217,11745,20961,75013
125,25 à 39 ans,21540,21629,43169,75013
126,40 à 54 ans,16333,17560,33894,75013
127,55 à 64 ans,9554,11804,21358,75013
128,65 à 79 ans,9744,13475,23219,75013
129,80 ans ou plus,2922,6073,8995,75013
130,Moins de 3 ans,1977,1820,3797,75014
131,3 à 5 ans,1730,1603,3333,75014
132,6 à 10 ans,2774,2807,5581,75014
133,11 à 17 ans,4297,3793,8090,75014
134,18 à 24 ans,7617,9388,17006,75014
135,25 à 39 ans,16777,17521,34298,75014
136,40 à 54 ans,11002,12806,23808,75014
137,55 à 64 ans,6498,8325,14823,75014
138,65 à 79 ans,7409,10651,18061,75014
139,80 ans ou plus,2654,5146,7800,75014
140,Moins de 3 ans,3612,3332,6943,75015
141,3 à 5 ans,3097,2984,6082,75015
142,6 à 10 ans,5157,5077,10234,75015
143,11 à 17 ans,7218,6874,14092,75015
144,18 à 24 ans,10607,14539,25145,75015
145,25 à 39 ans,28322,32126,60448,75015
146,40 à 54 ans,19756,22363,42119,75015
147,55 à 64 ans,10617,13496,24112,75015
148,65 à 79 ans,11956,17017,28973,75015
149,80 ans ou plus,4794,9201,13996,75015
150,Moins de 3 ans,2103,2177,4280,75016
151,3 à 5 ans,2405,2246,4650,75016
152,6 à 10 ans,4264,3962,8225,75016
153,11 à 17 ans,6389,6315,12704,75016
154,18 à 24 ans,7834,9652,17486,75016
155,25 à 39 ans,13293,15699,28992,75016
156,40 à 54 ans,15105,17897,33002,75016
157,55 à 64 ans,9086,10989,20075,75016
158,65 à 79 ans,10335,13549,23883,75016
159,80 ans ou plus,4652,8064,12716,75016
160,Moins de 3 ans,2671,2676,5347,75017
161,3 à 5 ans,2179,2326,4505,75017
162,6 à 10 ans,3832,3808,7640,75017
163,11 à 17 ans,5347,5334,10681,75017
164,18 à 24 ans,7480,9051,16531,75017
165,25 à 39 ans,21586,24159,45745,75017
166,40 à 54 ans,14839,16321,31161,75017
167,55 à 64 ans,8092,9464,17557,75017
168,65 à 79 ans,8122,10498,18620,75017
