code_cam,implantation,precision_implantation,date_implantation,lat,lon,code_annee,code_postal
95960,Rue Boinod  rue du Simplon,croisement,27/04/12,48.8936049,2.3510305000000002,1,75018
96016,Rue de Nantes  rue Barbanègre,croisement,07/09/12,48.8916607,2.3823987,1,75019
96036,Rue du Petit Musc  rue Saint-Antoine,croisement,21/12/11,48.8536755,2.3656217999999996,0,75004
96081,Place de la République  boulevard Voltaire,croisement,01/03/13,48.8667216,2.3651351000000003,2,75011
96105,Rue du Ranelagh  rue Raynouard,croisement,03/02/12,48.85371370000001,2.2773925999999998,1,75016
96167,Rue Riquet  avenue de Flandre,croisement,17/02/12,48.888439500000004,2.3739582666666696,1,75019
97058,Rue de Tolbiac  rue Nationale,croisement,19/10/12,48.8270179,2.3664848999999997,1,75013
97289,Rue de Clignancourt  rue Doudeauville,croisement,07/12/12,48.88840089999999,2.3479972,1,75018
97645,Rue Nungesser et Coli  avenue de la Porte Molitor,croisement,17/01/14,48.8446734,2.2521948,3,75016
98456,Avenue de la Porte de Clignancourt  rue Francis de Croisset,croisement,12/10/12,48.8994669,2.3442177666666697,1,75018
98521,Rue Daubenton  rue Geoffroy Saint-Hilaire,croisement,21/12/11,48.8415849,2.3558292,0,75005
98837,Rue du Cotentin  boulevard Pasteur,croisement,21/12/11,48.8390553666667,2.31656596666667,0,75015
99808,Rue de la Solidarité  rue David d'Angers,croisement,27/04/12,48.882816299999995,2.3894057,1,75019
99944,Rue la Boétie  rue du Faubourg Saint-Honoré,croisement,29/06/12,48.872840000000004,2.3107332,1,75008
99977,Rue Saint-Jacques  rue Cujas,croisement,21/12/11,48.8473646,2.3436601,0,75005
1011,Rue du Jour  rue Rambuteau,croisement,41558,48.8633706,2.3440813,10,75001
1041,Quai des Orfèvres  rue de Harlay,croisement,43084,48.855764799999996,2.3425564,10,75001
3036,Rue du Temple  rue Michel le Comte,croisement,42580,48.8618976,2.356922,10,75003
3040,Rue Vieille du Temple  rue de la Perle,croisement,42559,48.859939000000004,2.3607352,10,75003
4059,Boulevard Bourdon  rue Bassompierre,croisement,42866,48.8508921,2.367276,10,75004
5052,Rue de la Montagne Sainte-Geneviève  rue Descartes,croisement,43291,48.847444200000005,2.3485142000000003,10,75005
5057,Rue Claude Bernard  rue Vauquelin,croisement,42634,48.840292299999994,2.3460201,10,75005
6034,Rue Auguste Comte  avenue de l'Observatoire  place André Honorat,croisement,42622,48.844274,2.337026,10,75006
6037,Rue de Buci  rue de l'Ancienne Comédie,croisement,43363,48.8536645,2.3383857000000003,10,75006
7016,Rue de Varenne  rue Vaneau,croisement,42808,48.8549506,2.3199504,10,75007
7084,Rue de l'Université  avenue Franco-Russe,croisement,42989,48.8605335,2.2986461,10,75007
7090,Avenue du Docteur Brouardel  alléeThomy Thierry,croisement,42517,48.855826,2.2959411,10,75007
8028,Place Rio de Janeiro  rue de Lisbonne  rue de Monceau,croisement,42786,48.8775302,2.310372475,10,75008
8071,Avenue Matignon  rue de Ponthieu,croisement,43095,48.8699287,2.3119315,10,75008
8118,Rue Marbeuf  avenue George V,croisement,42650,48.86673270000001,2.3013008999999998,10,75008
8128,Rue du Rocher  rue de Monceau,croisement,42649,48.8807416,2.3170527,10,75008
8133,Avenue Montaigne  rue Bayard,croisement,43374,48.867659075,2.30771425,10,75008
8134,Avenue Montaigne  rue Clément Marot,croisement,43059,48.866391899999996,2.3051152999999998,10,75008
8138,Avenue Montaigne  place de la Reine Astrid,croisement,43059,48.865243266666695,2.3030058999999996,10,75008
9059,Rue Blanche  rue Jean-Baptiste Pigalle,croisement,42607,48.8778564,2.3319307,10,75009
9060,Rue de la Rochefoucauld  rue d'Aumale,croisement,43017,48.878654299999994,2.3345307,10,75009
10064,Rue du Faubourg Saint-Denis  rue de Metz,croisement,42657,48.8709596,2.3532949,10,75010
10100,Cours de Vincennes  avenue du Trône,croisement,41068,48.848092,2.399194,10,75012
10124,Rue de Rennes  rue de Vaugirard,croisement,41047,48.8470504666667,2.32697436666667,10,75006
10155,Avenue Ernest Reyer  rue Edmond Rousse,croisement,41271,48.8223979,2.3239111,10,75014
10372,Rue de la Tour d'Auvergne  rue Milton,croisement,41222,48.8793363,2.3427941000000003,10,75009
10439,Rue Berger  rue Pierre Lescot,croisement,40991,48.8610208,2.3477460999999997,10,75001
10476,Boulevard de Grenelle  rue du Commerce,croisement,40898,48.848978,2.2977937,10,75015
10510,Rue Cardinet  rue Lemercier,croisement,41068,48.890252399999994,2.3172175,10,75017
10568,Rue de Crimée  rue Botzaris,croisement,40942,48.8795794,2.3895058,10,75019
10642,Rue de Rivoli  rue des Bourdonnais,croisement,41257,48.85962132,2.34481172,10,75001
11056,Rue de Charonne  rue de Lappe,croisement,42832,48.8528255,2.3745038,10,75011
11106,Boulevard Saint-Michel  rue Serpente,croisement,41201,48.85185495,2.3433429,10,75006
11144,Avenue d'Italie  rue du Tage,croisement,41159,48.8222105,2.3585178,10,75013
11264,Avenue de Ségur  avenue de Suffren,croisement,41005,48.8478999,2.3061507999999997,10,75007
11361,Place Saint-Thomas d'Aquin  rue Saint-Thomas d'Aquin,croisement,40963,48.8560317,2.327245,10,75007
11453,Rue des Plantes  rue Antoine Chantin,croisement,41180,48.827597600000004,2.3209948,10,75014
11943,Avenue des Ternes  avenue Niel,croisement,41446,48.878646100000005,2.2942209,10,75017
12069,Rue de Charenton  boulevard de Reuilly,croisement,42704,48.838887266666696,2.3893259666666697,10,75012
12079,Avenue Albert Bartholomé  rue André Theuriet,croisement,40977,48.828479200000004,2.2966449,10,75015
12357,Rue du Faubourg Saint-Antoine  rue de la Forge Royale,croisement,40970,48.85045039999999,2.3801127999999996,10,75011
12770,Rue de l'Ourcq  rue Léon Giraud,croisement,41271,48.888284399999996,2.3843007000000003,10,75019
13085,Rue Bobillot  place Paul Verlaine  rue Vandrezanne,croisement,42807,48.827439899999995,2.352029,10,75013
13109,Avenue Pierre Mendès France  rue Paul Klee,croisement,inconnue,48.838899700000006,2.36993095,10,75013
13257,Rue Mayran  rue Rochambeau,croisement,40919,48.877117600000005,2.3457401,10,75009
13312,Boulevard Saint-Jacques  rue Ferrus,croisement,40898,48.8317078,2.3408724,10,75014
13314,Rue du Borrégo  rue du Télégraphe,croisement,41082,48.8727304,2.399251,10,75020
13418,Avenue Kléber  avenue des Portugais,croisement,41082,48.8712666666667,2.29329093333333,10,75016
13583,Boulevard Raspail  rue Huyghens,croisement,40935,48.8414875,2.3297751,10,75014
13772,Place Jeanne d'Arc  place Souham,croisement,41166,48.8292967,2.3682423,10,75013
14063,Rue de la Sablière  rue Hippolyte Maindron,croisement,42832,48.8320682,2.3222406,10,75014
14074,Rue Pernety  rue de l'Ouest,croisement,42622,48.834768200000006,2.3168599999999997,10,75014
14157,Rue Saint-Dominique  rue Cler,croisement,41229,48.859227399999995,2.3051352,10,75007
14531,Rue Petitot  rue des Fêtes,croisement,40998,48.8766088,2.3925127999999996,10,75019
